樣本編號,中文俗名,學名,苔蘚類群,生長型態,主要顏色,生長基質,孢蒴有無,觀測地點,資料來源
GBIF-5938437885,Racopilum cuspidigerum,Racopilum cuspidigerum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taipei,GBIF
GBIF-5938666626,Racopilum cuspidigerum,Racopilum cuspidigerum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,New Taipei,GBIF
GBIF-6130020411,Spiridens reinwardtii,Spiridens reinwardtii,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6131063166,Octoblepharum albidum,Octoblepharum albidum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6131338408,Octoblepharum albidum,Octoblepharum albidum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6147295278,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Kaohsiung,GBIF
GBIF-6147681400,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Kaohsiung,GBIF
GBIF-6147190347,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Kaohsiung,GBIF
GBIF-6159207538,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6159311421,Sphagnum junghuhnianum,Sphagnum junghuhnianum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Kaohsiung,GBIF
GBIF-6159425694,Racopilum cuspidigerum,Racopilum cuspidigerum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6159516849,Rosulabryum billardierei,Rosulabryum billardierei,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6163278871,Pseudospiridentopsis horrida,Pseudospiridentopsis horrida,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6170974438,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taichung,GBIF
GBIF-6171136865,Spiridens reinwardtii,Spiridens reinwardtii,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6171222526,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6171278954,Racopilum cuspidigerum,Racopilum cuspidigerum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,New Taipei,GBIF
GBIF-6179314283,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taichung,GBIF
GBIF-6179323653,Spiridens reinwardtii,Spiridens reinwardtii,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6236220799,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6178632400,Pseudospiridentopsis horrida,Pseudospiridentopsis horrida,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6178654171,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6178745490,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6179180857,Hylocomium splendens,Hylocomium splendens,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6179193461,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6179510060,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6179545440,Sphagnum junghuhnianum,Sphagnum junghuhnianum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6184811139,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6235227340,Rhodobryum giganteum,Rhodobryum giganteum,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
GBIF-6188477496,Spiridens reinwardtii,Spiridens reinwardtii,蘚類 Bryophyta,未知,未記錄,未知,未記錄,Taiwan,GBIF
